nome,valor_bruto,valor_liquido
Tesouro Selic 2023,"R$ 3.739,80","R$ 3.693,66"
Tesouro IPCA+ 2024,"R$ 9.875,30","R$ 9.471,80"
Tesouro Selic 2025,"R$ 11.935,48","R$ 11.848,84"
BANCO AGIBANK,"R$ 2.238,15","R$ 2.196,47"
BANCO AGIBANK,"R$ 2.191,85","R$ 2.158,28"
CMDT23 - CEMIG DISTRIBUICAO S.A,"R$ 965,87","R$ 929,38"
CMDT23 - CEMIG DISTRIBUICAO S.A,"R$ 962,23","R$ 921,53"
BANCO MAXIMA,"R$ 2.105,33","R$ 2.084,26"
BANCO MAXIMA,"R$ 1.098,53","R$ 1.081,29"
BANCO MAXIMA,"R$ 1.052,47","R$ 1.041,98"
DEVANT SOLIDUS CASH FIRF CP,"R$ 1.228,96","R$ 1.222,39"
